2025-02-19,5140e6cf,1024,1,[148.381147909 146.71442328499998 148.0]
2025-02-19,5140e6cf,1024,2,[74.90986459800001 75.13221508000001 74.4]
2025-02-21,4c5cbce0,1024,1,[148.099234966 149.002773984 148.429899747 148.296112636 148.629550001 148.728]
2025-02-21,4c5cbce0,1024,2,[75.09575260999999 74.04572175 74.74511571100001 74.32546655200001 74.759781637 74.398376681]
2025-02-21,eb8ab7ec,1024,1,[148.592138126 148.134466409 148.5715]
2025-02-21,eb8ab7ec,1024,2,[75.065719492 75.874838318 74.54428]
2025-02-26,4f6cece5,1024,1,[153.429721392 155.35882709 146.391175645 148.025418702 147.798972835 148.507914]
2025-02-26,4f6cece5,1024,2,[74.660839219 75.296193156 74.72057838399999 74.767948147 74.79634961 74.810554]
2025-02-26,ab248900,1024,1,[147.496177227 148.473523235 147.68463075]
2025-02-26,ab248900,1024,2,[74.862378669 74.80197056099999 75.5324911]
2025-02-26,ab248900,1024,4,[37.596288238 37.613696229 37.7972412]
2025-03-05,0f5f215c,1024,1,[146.90671831 146.676893264 148.120991841 153.714563405 146.694441252 153.33296629400002]
